,Cluster,Row ID
0,4,0
1,4,1
2,4,2
3,4,3
4,4,4
5,4,5
6,4,6
7,4,7
8,4,8
9,4,9
10,4,10
11,4,11
12,4,12
13,4,13
14,4,14
15,4,15
16,4,16
17,4,17
18,4,18
19,4,19
20,4,20
21,4,21
22,4,22
23,4,23
24,4,24
25,4,25
26,4,26
27,4,27
28,4,28
29,4,29
30,4,30
31,4,31
32,4,32
33,4,33
34,4,34
35,4,35
36,4,36
37,4,37
38,4,38
39,4,39
0,1,40
40,4,41
41,4,42
42,4,43
43,4,44
44,4,45
45,4,46
46,4,47
47,4,48
48,4,49
49,4,50
50,4,51
51,4,52
52,4,53
53,4,54
54,4,55
55,4,56
56,4,57
57,4,58
58,4,59
59,4,60
60,4,61
61,4,62
62,4,63
63,4,64
64,4,65
65,4,66
66,4,67
67,4,68
68,4,69
69,4,70
70,4,71
71,4,72
72,4,73
73,4,74
74,4,75
75,4,76
76,4,77
77,4,78
78,4,79
79,4,80
80,4,81
81,4,82
82,4,83
83,4,84
84,4,85
85,4,86
86,4,87
87,4,88
88,4,89
89,4,90
90,4,91
91,4,92
92,4,93
93,4,94
94,4,95
95,4,96
96,4,97
97,4,98
98,4,99
99,4,100
100,4,101
101,4,102
102,4,103
103,4,104
104,4,105
105,4,106
106,4,107
107,4,108
108,4,109
109,4,110
110,4,111
111,4,112
112,4,113
113,4,114
114,4,115
115,4,116
116,4,117
117,4,118
118,4,119
119,4,120
120,4,121
121,4,122
122,4,123
123,4,124
124,4,125
125,4,126
126,4,127
127,4,128
128,4,129
129,4,130
130,4,131
131,4,132
132,4,133
133,4,134
134,4,135
135,4,136
136,4,137
137,4,138
138,4,139
139,4,140
140,4,141
141,4,142
142,4,143
143,4,144
144,4,145
145,4,146
146,4,147
147,4,148
148,4,149
149,4,150
150,4,151
151,4,152
152,4,153
153,4,154
154,4,155
155,4,156
156,4,157
157,4,158
158,4,159
159,4,160
160,4,161
161,4,162
162,4,163
163,4,164
164,4,165
165,4,166
166,4,167
167,4,168
168,4,169
169,4,170
170,4,171
171,4,172
172,4,173
173,4,174
174,4,175
175,4,176
176,4,177
177,4,178
178,4,179
179,4,180
180,4,181
181,4,182
182,4,183
183,4,184
184,4,185
185,4,186
186,4,187
187,4,188
1,1,189
2,1,190
0,3,191
3,1,192
4,1,193
5,1,194
6,1,195
7,1,196
8,1,197
9,1,198
188,4,199
10,1,200
11,1,201
12,1,202
189,4,203
13,1,204
14,1,205
190,4,206
15,1,207
16,1,208
17,1,209
18,1,210
19,1,211
20,1,212
191,4,213
21,1,214
22,1,215
23,1,216
24,1,217
25,1,218
26,1,219
27,1,220
28,1,221
29,1,222
30,1,223
31,1,224
32,1,225
33,1,226
34,1,227
35,1,228
36,1,229
37,1,230
1,3,231
38,1,232
39,1,233
40,1,234
41,1,235
42,1,236
43,1,237
44,1,238
45,1,239
46,1,240
47,1,241
48,1,242
49,1,243
50,1,244
51,1,245
52,1,246
53,1,247
54,1,248
55,1,249
56,1,250
2,3,251
57,1,252
58,1,253
59,1,254
60,1,255
61,1,256
62,1,257
63,1,258
64,1,259
65,1,260
66,1,261
67,1,262
68,1,263
69,1,264
70,1,265
71,1,266
72,1,267
73,1,268
74,1,269
75,1,270
76,1,271
77,1,272
78,1,273
79,1,274
80,1,275
81,1,276
82,1,277
83,1,278
84,1,279
85,1,280
3,3,281
4,3,282
86,1,283
87,1,284
88,1,285
5,3,286
192,4,287
193,4,288
6,3,289
0,2,290
1,2,291
2,2,292
7,3,293
194,4,294
3,2,295
8,3,296
4,2,297
9,3,298
195,4,299
5,2,300
6,2,301
7,2,302
196,4,303
8,2,304
9,2,305
89,1,306
10,2,307
197,4,308
198,4,309
199,4,310
10,3,311
11,2,312
200,4,313
11,3,314
201,4,315
202,4,316
12,3,317
203,4,318
12,2,319
13,2,320
14,2,321
15,2,322
16,2,323
13,3,324
204,4,325
14,3,326
205,4,327
206,4,328
17,2,329
18,2,330
19,2,331
15,3,332
16,3,333
20,2,334
21,2,335
207,4,336
90,1,337
17,3,338
208,4,339
22,2,340
23,2,341
24,2,342
25,2,343
26,2,344
27,2,345
18,3,346
209,4,347
210,4,348
211,4,349
28,2,350
19,3,351
29,2,352
212,4,353
20,3,354
30,2,355
21,3,356
213,4,357
31,2,358
214,4,359
32,2,360
33,2,361
22,3,362
215,4,363
23,3,364
34,2,365
216,4,366
35,2,367
24,3,368
217,4,369
36,2,370
37,2,371
25,3,372
38,2,373
39,2,374
40,2,375
26,3,376
41,2,377
27,3,378
28,3,379
218,4,380
29,3,381
219,4,382
42,2,383
43,2,384
44,2,385
220,4,386
221,4,387
30,3,388
45,2,389
222,4,390
31,3,391
32,3,392
46,2,393
33,3,394
34,3,395
35,3,396
223,4,397
36,3,398
37,3,399
